estimator,trajectory,noise_regime,n,ate_mean,ate_std,ate_ci,rpe_mean,rpe_std,anis_mean,anis_std,anees_mean,anees_std,nis_ok,nees_ok,rt_mean,rt_std,lb,ub
MACE-EKF,circle,medium,50,0.062972846461521,0.0014715961938566587,0.0004079056539549878,0.06446963600783119,0.00890854435288046,0.8770040725206486,0.02975277448903224,0.9091712178440897,0.06199289760764476,True,True,3354.220985640004,2098.498185600411,0.7294068619607659,1.312621028451283
MACE-EKF,figure8,high,50,0.13294813120376026,0.003335908947540259,0.0009246667845848257,0.1332924044181489,0.015253815017191164,1.1842859523884062,0.04288256182191696,0.9556776830939756,0.06721257058800814,True,True,3391.929026679997,2110.253980525734,0.7294068619607659,1.312621028451283
MACE-EKF,figure8,low,50,0.03341007546875783,0.0008485580816942607,0.00023520830012829075,0.03325437925918452,0.004661750810937901,0.5332456640533002,0.011936655306930787,0.8438537082909172,0.04731058392086688,False,True,3449.0540879399987,2153.529957670781,0.7294068619607659,1.312621028451283
MACE-EKF,figure8,medium,50,0.06288483948563844,0.001414146063037591,0.0003919812901387587,0.06287921326948637,0.008041734224883103,0.8770384967610206,0.02968238637831034,0.907054420271525,0.06043468025125156,True,True,3450.600417079986,2152.2987110374274,0.7294068619607659,1.312621028451283
MACE-EKF,straight,high,50,0.13308350626516927,0.003310838828016328,0.0009177177019887783,0.1316206698578976,0.018006587328395617,1.185932751868255,0.042678705098730486,0.9580751332585542,0.0673812434492581,True,True,3153.8890662400036,2023.4964469165398,0.7294068619607659,1.312621028451283
MACE-EKF,straight,low,50,0.033482118432263126,0.0008508177693041526,0.00023583465357775933,0.03320050503782077,0.004473538408255724,0.5344665567970988,0.011907665536694584,0.8435483928294445,0.04724834960643904,False,True,3331.714533119998,2077.469672816303,0.7294068619607659,1.312621028451283
MACE-EKF,straight,medium,50,0.06295001222805373,0.0014538570556616687,0.0004029886157102353,0.062330600608147116,0.008687401218463979,0.8768600196683849,0.03149636054891773,0.9066683338572911,0.06286187979470036,True,True,3433.7002155399973,2141.051621923302,0.7294068619607659,1.312621028451283
MACE-UKF,circle,high,25,0.065690561279054,0.003644889023412794,0.0014287964971778152,0.06450239708326809,0.009461596169334164,1.1377633300055805,0.024394476520514886,0.7702193224046323,0.06745166769128473,True,True,5976.433494679976,6448.653266546041,0.7294068619607659,1.312621028451283
MACE-UKF,circle,low,25,0.024377945783941896,0.0006266227677532213,0.00024563612495926275,0.025334925872504858,0.003664982811983129,0.6725973945601642,0.011548839863884365,0.5846936853752873,0.035259979182941145,False,False,6065.881309159994,6559.9634740975325,0.7294068619607659,1.312621028451283
MACE-UKF,circle,medium,25,0.03780410743646344,0.0012715069653294407,0.0004984307304091407,0.03918149962170457,0.004924297311592731,0.8354382067318908,0.024457185850575075,0.5828204053187608,0.04262254593042414,True,False,5827.294254160024,6241.153042740134,0.7294068619607659,1.312621028451283
MACE-UKF,figure8,high,25,0.06471615017105217,0.003168754090194187,0.0012421516033561213,0.06399282160150636,0.009194864076330283,1.1371356540225706,0.02562091835918516,0.7560409138485038,0.06510764315756838,True,True,6075.15995056002,6598.207529351821,0.7294068619607659,1.312621028451283
MACE-UKF,figure8,low,25,0.02433357223832809,0.0005871078765089978,0.00023014628759152712,0.024266712350525844,0.0038798779166461573,0.6726968595943468,0.011629459492201188,0.5825353469833164,0.03375438448486803,False,False,5948.425481719987,6435.572628063975,0.7294068619607659,1.312621028451283
MACE-UKF,figure8,medium,25,0.03761273665703093,0.0011853917488899846,0.00046467356556487393,0.03747298790764597,0.005057482571147242,0.83585422832922,0.02442434190622968,0.5778712467110008,0.040282289025141554,True,False,5928.025165400013,6422.190540218503,0.7294068619607659,1.312621028451283
MACE-UKF,straight,high,25,0.06867873961493046,0.003249719165959363,0.0012738899130560703,0.06404388826818874,0.011007351001500961,1.1390882777282785,0.027524821644369757,0.8047768037792459,0.06694914884995304,True,True,5858.185690319997,6299.364828933608,0.7294068619607659,1.312621028451283
MACE-UKF,straight,low,25,0.024970000263747436,0.0005759522290031094,0.00022577327376921888,0.024536588756682423,0.0035267692786741076,0.6744918945486114,0.011885521078451703,0.5851612945573447,0.034549496637060174,False,False,5870.316916800011,6302.033626062799,0.7294068619607659,1.312621028451283
MACE-UKF,straight,medium,25,0.03855894420837859,0.0011659756487511176,0.00045706245431043806,0.03801932952857216,0.004898554800188833,0.8347953580177887,0.024375412087754705,0.5900427046275474,0.041186820597629466,True,False,6204.570879880002,6721.437135232869,0.7294068619607659,1.312621028451283
UKF,circle,high,25,0.05101350157143265,0.0035889707124129415,0.001406876519265873,0.046006766152920424,0.006501346185265243,0.31174432211364267,0.00925495925629379,0.1753023593928739,0.0207385475252202,False,False,5470.469526959996,5933.626613487997,0.7294068619607659,1.312621028451283
UKF,circle,low,25,0.006807220197729795,0.0004812742340959672,0.00018865949976561912,0.0062088650362139555,0.000856422342116208,0.005584965309506056,0.0001707201786750619,0.0031265761225074697,0.00037926194984875904,False,False,5323.881354920004,5791.122504689949,0.7294068619607659,1.312621028451283
UKF,circle,medium,25,0.01700582198983916,0.0011982421722539303,0.0004697109315235407,0.015393916920351018,0.002156113382939602,0.03466105238654054,0.0010159480730862452,0.019490532735718664,0.002314436702201876,False,False,5352.593574400007,5810.975673893953,0.7294068619607659,1.312621028451283
UKF,figure8,high,25,0.04977705052328334,0.0028740560645939,0.0011266299773208088,0.04606092524975081,0.006464949791710203,0.31175561938454,0.009255881855540653,0.16782765424219678,0.015976276332926396,False,False,5388.575914439989,5874.21347275264,0.7294068619607659,1.312621028451283
UKF,figure8,low,25,0.006766443519205095,0.0003954929552798596,0.00015503323846970495,0.0065107237257043616,0.0008496609207917783,0.005555832504652006,0.00015956068794752053,0.003068271001668137,0.00030293172783371104,False,False,5295.98149724,5730.1355063310875,0.7294068619607659,1.312621028451283
UKF,figure8,medium,25,0.016633893602666858,0.0009611265798636593,0.0003767616193065545,0.015492939961584073,0.0021574550518851515,0.0346569176287909,0.001018902380509124,0.018719791295954472,0.0017912135246153447,False,False,5394.433062559992,5869.7777843019,0.7294068619607659,1.312621028451283
UKF,straight,high,25,0.06250009878321051,0.003508139504340941,0.0013751906857016488,0.04590309175404011,0.00829935149051733,0.31764582637907096,0.009332691608333861,0.24988562597157507,0.024287380271401468,False,False,5168.548745440021,5569.873743936347,0.7294068619607659,1.312621028451283
UKF,straight,low,25,0.03802112885522031,0.0005755063551507527,0.00022559849121909508,0.006728060491907959,0.001079871735503586,0.011372832554323097,0.00018857225325779003,0.08331792622261376,0.002509807753946582,False,False,5455.449204440011,5885.0241448686,0.7294068619607659,1.312621028451283
UKF,straight,medium,25,0.04102719412638613,0.0013875578924202614,0.0005439226938287425,0.015555873698800193,0.002777325671051576,0.04048804265180955,0.0010670666990223335,0.09938769438348423,0.006461430990566345,False,False,5269.811883679995,5715.930932270527,0.7294068619607659,1.312621028451283
